time [ms],value [mm]
2495,0.15889811
2500,0.15892861
2505,0.15892605
2510,0.15881186
2515,0.15777263
2520,0.15961530
2525,0.16541974
2530,0.16559779
2535,0.11366277
2540,0.08000238
2545,0.14142220
2550,0.14911180
2555,0.15371221
2560,0.15941886
2565,0.15459378
2570,0.15927217
2575,0.15474246
2580,0.15803935
2585,0.15660724
2590,0.15628121
2595,0.15424081
2600,0.15212970
2605,0.15216449
2610,0.15069388
2615,0.14886204
2620,0.14850979
2625,0.14932307
2630,0.14903967
2635,0.14787142
2640,0.14778332
2645,0.15238944
2650,0.14992736
2655,0.15014576
2660,0.15142035
2665,0.14996842
2670,0.15099795
2675,0.15037869
2680,0.15103288
2685,0.14997825
2690,0.15125541
2695,0.15026950
2700,0.15039979
2705,0.15080308
2710,0.15038995
2715,0.15074549
2720,0.14986649
2725,0.15128905
2730,0.15008788
2735,0.15080935
2740,0.15037570
2745,0.15109033
2750,0.15012281
2755,0.15072981
2760,0.15088662
2765,0.15025510
2770,0.15096075
2775,0.15025581
2780,0.15079880
2785,0.15034220
2790,0.15077386
2795,0.15047677
2800,0.15042217
2805,0.15077386
2810,0.15031198
2815,0.15067421
2820,0.15033863
2825,0.15082774
2830,0.15042545
2835,0.15060963
2840,0.15053893
2845,0.15038468
2850,0.15069060
2855,0.15044184
2860,0.15076887
2865,0.15047150
2870,0.15080550
2875,0.15047278
2880,0.15056587
2885,0.15053308
2890,0.15054620
2895,0.15061391
2900,0.15046822
2905,0.15061362
2910,0.15051041
2915,0.15062289
2920,0.15051355
2925,0.15051455
2930,0.15065639
2935,0.15051255
2940,0.15064285
2945,0.15061690
2950,0.15063045
2955,0.15054320
2960,0.15057685
2965,0.15050443
2970,0.15058326
2975,0.15059224
2980,0.15061491
2985,0.15060864
2990,0.15059053
2995,0.15065810
3000,0.15050699
3005,0.15064584
3010,0.15056302
3015,0.15052353
3020,0.15050314
3025,0.15052510
3030,0.15061918
3035,0.15047877
3040,0.15058925
3045,0.15054748
3050,0.15063900
3055,0.15060735
3060,0.15058012
3065,0.15050771
3070,0.15033521
3075,0.15048433
3080,0.15035118
3085,0.15063472
3090,0.15061662
3095,0.15046522
3100,0.15045368
3105,0.15052353
3110,0.15049545
3115,0.15051498
3120,0.15052709
3125,0.15054463
3130,0.15055960
3135,0.15053664
3140,0.15053622
3145,0.15049716
3150,0.15047905
3155,0.15057870
3160,0.15056516
3165,0.15053066
3170,0.15055119
3175,0.15050699
3180,0.15050343
3185,0.15056558
3190,0.15044954
3195,0.15049288
3200,0.15051455
3205,0.15056230
3210,0.15056729
3215,0.15054776
3220,0.15057713
3225,0.15060906
3230,0.15056501
3235,0.15043899
3240,0.15060864
3245,0.15059053
3250,0.15059096
3255,0.15056758
3260,0.15067720
3265,0.15060350
3270,0.15056159
3275,0.15046266
3280,0.15050699
3285,0.15052652
3290,0.15053208
3295,0.15062218
3300,0.15047478
3305,0.15051327
3310,0.15050699
3315,0.15055846
3320,0.15045681
3325,0.15052153
3330,0.15051982
3335,0.15053408
3340,0.15056658
3345,0.15052296
3350,0.15059367
3355,0.15064684
3360,0.15052909
3365,0.15052353
3370,0.15052966
3375,0.15055846
3380,0.15050842
3385,0.15053508
3390,0.15045639
3395,0.15053166
3400,0.15050842
3405,0.15048361
3410,0.15057770
3415,0.15058298
3420,0.15059053
3425,0.15050870
3430,0.15050414
3435,0.15060578
3440,0.15052054
3445,0.15053935
3450,0.15058212
3455,0.15053664
3460,0.15049331
3465,0.15055218
3470,0.15055290
3475,0.15044427
3480,0.15053893
3485,0.15050728
3490,0.15044284
3495,0.15055774
